iter	MultiClass
0	1.346297873
1	1.317331269
2	1.294614608
3	1.261558642
4	1.243186698
5	1.227096457
6	1.212478737
7	1.194835769
8	1.183124315
9	1.1695109
10	1.160006769
11	1.14818381
12	1.123465804
13	1.114168926
14	1.106346172
15	1.098612091
16	1.076645654
17	1.068853871
18	1.052618288
19	1.045221204
20	1.038635803
21	1.014996934
22	0.9923909448
23	0.9674290639
24	0.9505710125
25	0.9429184883
26	0.9235430505
27	0.918173651
28	0.905187065
29	0.8797810205
30	0.8675976915
31	0.8521773995
32	0.8346198942
33	0.8207546817
34	0.8106559791
35	0.7942324907
36	0.7834458146
37	0.7709172788
38	0.7660922431
39	0.7617292424
40	0.7536243923
41	0.7487231912
42	0.7354356224
43	0.7316633958
44	0.7218421806
45	0.7108242693
46	0.706965988
47	0.6992129254
48	0.6894412534
49	0.680540956
50	0.6759621671
51	0.6699183118
52	0.6670357994
53	0.6634983143
54	0.6560120414
55	0.6504513907
56	0.6422048279
57	0.6345860737
58	0.6320016047
59	0.6251899054
60	0.6177850999
61	0.6147236931
62	0.6084680632
63	0.6028053968
64	0.6006258661
65	0.5946135233
66	0.5903185741
67	0.5852881503
68	0.5803567146
69	0.5742867469
70	0.5690820176
71	0.5668449862
72	0.5626087579
73	0.5606805232
74	0.5559003118
75	0.5513040798
76	0.5469526257
77	0.5427248494
78	0.5412059724
79	0.5379004894
80	0.533724075
81	0.529880828
82	0.5274143856
83	0.5238486888
84	0.5217424103
85	0.5199818838
86	0.5171273128
87	0.5135790785
88	0.5099425291
89	0.5083773523
90	0.5043470184
91	0.5013285077
92	0.4978946588
93	0.4948439127
94	0.4929685774
95	0.4912946901
96	0.4882715397
97	0.485072268
98	0.4829884077
99	0.4804271601
100	0.4776337125
101	0.4747121988
102	0.472591065
103	0.4699421157
104	0.4685321949
105	0.466212694
106	0.4638741947
107	0.4625286945
108	0.4606630842
109	0.4585548249
110	0.4561594094
111	0.4536327136
112	0.4521126384
113	0.4509752383
114	0.4488098562
115	0.4466708346
116	0.4452151721
117	0.4444403023
118	0.4432606889
119	0.4413551289
120	0.4390699285
121	0.4369898336
122	0.4359748834
123	0.4341484679
124	0.4329734347
125	0.4309647603
126	0.4294729692
127	0.4290613234
128	0.4273563565
129	0.4264553173
130	0.4246287363
131	0.4227928335
132	0.4218103995
133	0.4208426005
134	0.4190550551
135	0.4181130163
136	0.4165125378
137	0.4151812434
138	0.4140314229
139	0.4131525339
140	0.4116879455
141	0.4102296178
142	0.408655006
143	0.4073732449
144	0.4060922273
145	0.4049674609
146	0.4045969789
147	0.4032076236
148	0.4021895013
149	0.4008944717
150	0.3995032133
151	0.3986688663
152	0.3973824531
153	0.396297397
154	0.3951132185
155	0.394489202
156	0.3933414465
157	0.3923769632
158	0.3912389493
159	0.3901217641
160	0.3892908411
161	0.3882766192
162	0.3872006223
163	0.3863550311
164	0.3852993622
165	0.3842433653
166	0.3836905029
167	0.3830856776
168	0.3821606772
169	0.3814960687
170	0.3808786603
171	0.3799723222
172	0.3794126157
173	0.3786148645
174	0.3777865042
175	0.376854589
176	0.3759093119
177	0.3749972233
178	0.3742248034
179	0.3734383929
180	0.3728981294
181	0.372709932
182	0.3722741892
183	0.3719106091
184	0.371462114
185	0.3713352534
186	0.3709415061
187	0.3703370671
188	0.369803194
189	0.3692659032
190	0.3687647992
191	0.3683143264
192	0.3678212453
193	0.3674173094
194	0.3670590163
195	0.3664125467
196	0.3659710669
197	0.3653259547
198	0.3647160309
199	0.3641519114
200	0.3633814718
201	0.3630234833
202	0.3622890868
203	0.3617561916
204	0.3615144636
205	0.3609214405
206	0.3605242374
207	0.3599995456
208	0.359473877
209	0.3590558804
210	0.3585168797
211	0.3579518034
212	0.3578792657
213	0.3572765161
214	0.3567431018
215	0.3562879389
216	0.3557618927
217	0.3553148676
218	0.354950512
219	0.3546398121
220	0.3545215223
221	0.3544522956
222	0.3544381819
223	0.3543353053
224	0.3538282982
225	0.353353482
226	0.3531177723
227	0.3526692135
228	0.3522366952
229	0.3520918746
230	0.3517959629
231	0.3517025066
232	0.3510970256
