iter	Passed	Remaining
0	2472	2470207
1	3950	1971322
2	5500	1827916
3	7236	1801963
4	8919	1774968
5	10602	1756452
6	12110	1717938
7	13767	1707224
8	15407	1696543
9	17229	1705720
10	18951	1703934
11	20787	1711492
12	22426	1702706
13	24030	1692439
14	25589	1680401
15	27467	1689237
16	29042	1679329
17	30699	1674849
18	32439	1674883
19	34131	1672450
20	35623	1660735
21	37297	1658053
22	38815	1648823
23	40330	1640104
24	41870	1632942
25	43571	1632256
26	45194	1628685
27	46784	1624098
28	48281	1616593
29	49772	1609312
30	51424	1607420
31	52969	1602342
32	54505	1597186
33	56181	1596201
34	57718	1591379
35	59167	1584378
36	60779	1581901
37	62277	1576610
38	63859	1573567
39	65528	1572689
40	67017	1567564
41	68667	1566272
42	70202	1562414
43	71899	1562189
44	73391	1557524
45	74942	1554246
46	76531	1551796
47	78056	1548128
48	79579	1544496
49	81214	1543068
50	82861	1541874
51	84394	1538574
52	86041	1537388
53	87728	1536867
54	89213	1532849
55	91066	1535121
56	92831	1535798
57	94532	1535335
58	96335	1536475
59	97999	1535328
60	99642	1533847
61	101254	1531881
62	102955	1531258
63	104521	1528630
64	106360	1529961
65	107965	1527882
66	109914	1530595
67	112579	1543001
68	114879	1550038
69	116939	1553619
70	118976	1556751
71	120844	1557548
72	122515	1555781
73	124372	1556332
74	126253	1557128
75	128252	1559284
76	129892	1557027
77	131457	1553900
78	133653	1558158
79	135785	1561533
80	138324	1569387
81	140198	1569539
82	142362	1572843
83	144662	1577510
84	146702	1579205
85	148812	1581560
86	150631	1580763
87	152731	1582850
88	154288	1579289
89	156271	1580074
90	158218	1580450
91	159750	1576666
92	161467	1574739
93	163495	1575816
94	165096	1572761
95	167261	1575045
96	169110	1574300
97	170754	1571640
98	172417	1569170
99	174186	1567678
100	175852	1565257
101	177569	1563309
102	179318	1561635
103	180737	1557123
104	182635	1556750
105	184668	1557490
106	186763	1558691
107	188793	1559291
108	190656	1558489
109	192456	1557146
110	194190	1555275
111	195748	1552007
112	197425	1549704
113	199216	1548294
114	200751	1544909
115	202438	1542724
116	204063	1540072
117	205787	1538172
118	207345	1535052
119	208998	1532652
120	210535	1529430
121	212164	1526886
122	213928	1525324
123	215648	1523452
124	217206	1520443
125	218762	1517449
126	220275	1514176
127	221983	1512260
128	223656	1510116
129	225379	1508312
130	226961	1505568
131	228455	1502269
132	230356	1501644
133	232003	1499367
134	233535	1496358
135	235186	1494123
136	236757	1491399
137	238415	1489230
138	239922	1486141
139	241557	1483855
140	243133	1481218
141	244795	1479116
142	246416	1476774
143	248129	1474990
144	249952	1473857
145	251836	1473068
146	253511	1471055
147	254991	1467923
148	256490	1464924
149	258030	1462170
150	259479	1458927
151	261125	1456804
152	262551	1453468
153	264024	1450418
154	265429	1447020
155	267066	1444896
156	268701	1442770
157	270386	1440918
158	271874	1438025
159	273369	1435189
160	275021	1433184
161	276610	1430862
162	278200	1428548
163	279844	1426524
164	281305	1423577
165	282782	1420727
166	284297	1418080
167	285857	1415674
168	287410	1413245
169	289007	1411035
170	290711	1409355
171	292303	1407135
172	293852	1404717
173	295372	1402172
174	297041	1400337
175	298528	1397656
176	300000	1394918
177	301498	1392314
178	303157	1390457
179	304726	1388198
180	306446	1386627
181	308170	1385071
182	309743	1382841
183	311285	1380483
184	312933	1378597
185	314628	1376922
186	316297	1375131
187	317996	1373473
188	319535	1371126
189	321024	1368577
190	322425	1365668
191	324132	1364055
192	325776	1362183
