product_id,parent_category,manufacturer_id,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5
22665,3898.0,861,4,0,490,2,66
13526,600.0,1090,10,0,511,0,0
21399,1420.0,1090,10,1,511,0,0
8504,2566.0,768,4,1,484,0,66
31956,2054.0,1388,4,0,491,0,66
6237,2109.0,1492,4,1,491,3,66
16971,566.0,288,6,0,314,0,45
18385,566.0,288,6,0,314,0,45
12775,3295.0,322,1,0,536,0,78
8285,3137.0,734,10,0,510,3,132
16238,2894.0,1180,10,0,288,0,87
29828,2894.0,1180,10,0,288,0,87
13025,431.0,589,10,1,503,3,17
18912,3027.0,703,4,0,335,0,89
17432,1072.0,1277,4,1,491,0,144
1480,1682.0,219,10,1,536,0,156
3362,1890.0,1265,4,3,514,0,187
6084,1223.0,1040,6,1,454,0,173
19652,370.0,703,4,0,335,0,89
7002,3137.0,752,4,1,31,3,140
1315,3137.0,1355,4,0,486,3,144
3898,3898.0,1410,4,1,491,0,66
24190,3898.0,1201,4,0,39,0,151
7811,2457.0,1371,10,3,379,3,127
20836,1147.0,1023,10,0,522,0,39
23438,1147.0,1023,10,2,522,0,39
2346,1147.0,1023,10,0,503,0,9
32457,2280.0,238,6,1,282,3,33
27772,2280.0,238,6,0,394,3,33
30317,3898.0,238,6,0,496,3,33
10963,2012.0,454,10,0,62,3,141
16219,965.0,62,10,1,503,3,152
16010,1072.0,715,4,1,491,3,66
29149,2364.0,1379,6,1,444,0,117
22480,3898.0,791,6,0,502,3,178
21222,2280.0,238,6,1,332,3,33
29010,3232.0,249,10,0,503,0,185
29191,2280.0,238,6,1,496,3,33
27816,1147.0,1023,10,0,522,0,29
13585,100.0,239,4,1,452,0,12
13331,2280.0,238,6,0,496,3,33
9577,100.0,239,4,1,452,0,12
13653,3898.0,238,6,0,9,3,33
8535,3056.0,279,10,1,507,0,43
15811,2280.0,238,6,2,496,3,33
18781,100.0,239,4,1,462,0,10
32346,2703.0,361,10,1,243,3,45
9206,1932.0,1201,4,0,174,0,44
25833,3898.0,139,6,0,491,3,117
12742,1932.0,1201,4,0,174,0,44
2012,298.0,1410,4,1,491,0,66
1968,1134.0,143,6,1,282,0,146
3898,1072.0,1410,4,1,491,0,66
9860,1072.0,598,4,1,491,0,66
19233,2481.0,1237,10,1,484,3,101
24529,100.0,239,4,1,462,0,10
23188,100.0,239,4,1,462,0,10
26024,1072.0,227,4,0,491,0,66
19595,3898.0,1496,4,0,291,0,44
1072,3189.0,1126,4,0,512,0,138
29683,3898.0,1445,3,0,-1,-1,-1
18084,148.0,1383,10,0,503,0,17
21573,1072.0,398,4,0,491,3,66
1841,3565.0,1065,4,0,329,3,163
31771,100.0,239,4,1,462,0,10
9911,3898.0,1111,4,0,82,3,66
3898,3898.0,1410,4,1,491,0,66
7674,431.0,242,10,1,503,0,1
9634,3898.0,979,4,0,484,3,66
11435,3898.0,979,4,0,487,3,66
14289,3687.0,734,10,0,521,3,45
26906,1380.0,765,4,0,497,0,177
2364,1380.0,1207,4,1,536,0,144
27223,1682.0,1278,8,2,468,0,-1
31823,1380.0,765,4,0,497,0,177
8290,1380.0,765,4,0,497,0,-1
4646,1072.0,561,6,0,495,0,117
22253,1072.0,437,4,2,491,3,144
13811,3898.0,979,4,0,484,3,66
3366,100.0,1006,4,0,491,3,78
1197,100.0,1265,4,2,514,0,187
2776,3898.0,317,10,0,500,0,-1
10319,100.0,239,4,1,462,0,10
9323,2741.0,1232,4,0,358,0,117
4309,1543.0,533,4,1,466,0,-1
30852,2741.0,1232,4,0,358,0,117
30942,2741.0,1232,4,0,358,0,117
17464,3056.0,1300,10,1,503,0,122
25550,566.0,397,10,2,515,3,39
10223,3898.0,397,10,1,491,3,38
7705,2012.0,1156,10,1,491,3,152
10583,3898.0,217,4,2,491,3,66
5762,3550.0,77,6,1,484,0,144
21357,3617.0,1452,10,1,534,3,45
7257,2012.0,207,4,0,28,0,175
23945,2012.0,207,4,0,28,0,175
3462,2012.0,150,10,2,503,0,39
4847,3898.0,230,4,0,39,0,21
5398,1223.0,64,4,1,455,0,174
28821,298.0,495,6,1,507,0,122
9409,1072.0,1156,4,1,495,0,33
27298,3898.0,1156,4,2,34,0,33
31178,3059.0,378,4,0,401,3,44
4448,1134.0,219,4,1,536,0,144
9436,965.0,1158,10,2,503,0,17
16445,1178.0,888,4,0,76,0,53
29978,2475.0,839,4,1,96,3,44
12927,2475.0,839,4,1,96,3,44
4923,2475.0,839,4,0,96,0,44
8839,3189.0,1194,10,1,502,0,126
21375,2566.0,615,4,0,100,3,66
32767,3056.0,127,10,0,207,0,84
28819,3898.0,127,10,2,207,0,84
16343,3189.0,1383,10,0,509,0,-1
31990,2028.0,453,4,1,458,0,-1
20145,2901.0,756,10,0,398,0,87
