customer_id,product_id,purchase_date,quantity,purchase_count,mean_quantity,std_quantity,recency_score,frequency_score,avg_purchase_interval,parent_category_id,total_purchases,week,manufacturer_id,attribute_1,attribute_2,attribute_3,attribute_4,attribute_5
10069,22582,2020-06-13,1,2,1.0,0.0,141,2,91.0,3898.0,2,2,703,10,0,261,0,84
21545,30712,2020-08-15,1,1,1.0,0.0,169,1,67.0,unknown,1,3,186,10,0,421,3,3
10235,1075,2020-12-09,1,1,1.0,0.0,53,1,67.0,3898.0,1,4,539,4,0,487,0,-1
21179,31728,2020-12-14,1,1,1.0,0.0,48,1,67.0,556.0,1,1,408,10,1,508,0,101
28193,18630,2020-08-17,1,1,1.0,0.0,167,1,67.0,1072.0,1,4,6,4,0,291,0,44
36773,7894,2020-07-30,1,1,1.0,0.0,185,1,67.0,3898.0,1,1,523,10,0,503,0,17
6504,9397,2020-09-19,1,1,1.0,0.0,134,1,67.0,1543.0,1,4,829,10,0,425,3,84
24072,29657,2020-12-20,1,3,1.0,0.0,42,3,53.0,2894.0,3,1,18,10,0,345,0,84
1094,24576,2020-09-17,1,2,1.0,0.0,136,2,91.0,2006.0,2,4,322,4,0,536,0,144
13443,4049,2020-12-13,1,1,1.0,0.0,49,1,67.0,3056.0,1,4,1126,4,0,363,0,89
40157,23187,2021-01-30,3,1,3.0,0.0,1,1,67.0,3898.0,3,3,199,10,3,321,3,127
7609,10243,2020-06-08,1,2,1.0,0.0,56,2,181.0,431.0,2,2,571,4,0,491,0,74
32391,2609,2020-07-30,1,2,1.5,0.7071067811865476,65,2,120.0,3898.0,3,1,322,4,0,536,0,144
35366,1514,2020-07-30,1,1,1.0,0.0,185,1,67.0,3898.0,1,1,618,4,3,403,0,144
27002,18350,2020-06-06,1,1,1.0,0.0,239,1,67.0,unknown,1,1,186,4,0,318,0,163
17390,24392,2020-06-25,1,1,1.0,0.0,220,1,67.0,153.0,1,4,392,10,0,505,0,84
26049,23478,2020-10-16,1,1,1.0,0.0,107,1,67.0,2109.0,1,4,177,10,0,519,0,9
25837,25873,2020-12-20,1,1,1.0,0.0,42,1,67.0,1543.0,1,1,1265,4,0,514,0,187
37288,2761,2021-01-13,1,1,1.0,0.0,18,1,67.0,unknown,1,1,127,4,0,71,0,144
40307,24730,2020-06-02,2,1,2.0,0.0,243,1,67.0,2901.0,2,1,1111,4,0,487,0,66
43933,15971,2020-09-16,1,1,1.0,0.0,137,1,67.0,3898.0,1,4,361,10,0,503,0,9
17310,29657,2020-12-02,2,1,2.0,0.0,60,1,67.0,431.0,2,3,18,10,0,345,0,84
33846,28400,2020-11-27,1,4,1.25,0.5,23,4,65.66666666666667,566.0,5,2,280,4,0,491,0,53
4529,30467,2021-01-01,1,4,1.75,0.957427107756338,30,4,68.66666666666667,unknown,7,3,853,4,0,450,0,76
5735,28260,2020-09-08,1,1,1.0,0.0,145,1,67.0,2566.0,1,3,219,4,0,536,0,144
21912,20317,2020-09-13,1,2,1.0,0.0,140,2,70.0,1682.0,2,3,1180,4,0,487,0,16
5161,3188,2020-07-05,4,3,2.6666666666666665,1.5275252316519468,95,3,57.5,1147.0,8,1,1338,4,3,444,3,144
7740,21060,2020-10-17,1,2,1.5,0.7071067811865476,106,2,18.0,726.0,3,4,1180,4,3,322,0,144
34952,32495,2020-08-07,5,1,5.0,0.0,177,1,67.0,3027.0,5,2,193,4,0,202,0,108
8325,20209,2020-11-30,1,1,1.0,0.0,62,1,67.0,370.0,1,3,703,4,0,291,0,44
17118,1782,2020-12-25,1,1,1.0,0.0,37,1,67.0,1543.0,1,2,6,4,3,321,0,144
13591,17857,2020-12-12,1,1,1.0,0.0,50,1,67.0,1178.0,1,4,408,10,0,395,0,8
42234,2113,2020-12-08,1,1,1.0,0.0,54,1,67.0,2894.0,1,4,1180,10,0,345,0,95
12916,11349,2020-12-19,1,4,1.25,0.5,4,4,35.333333333333336,2752.0,5,1,408,6,0,166,0,122
4588,31715,2020-11-03,1,1,1.0,0.0,89,1,67.0,1072.0,1,3,1156,10,0,487,3,152
36960,24973,2021-01-31,1,1,1.0,0.0,0,1,67.0,3808.0,1,3,539,6,0,303,0,45
23986,5076,2020-08-27,1,3,1.0,0.0,20,3,68.5,3860.0,3,1,829,10,0,9,0,156
23307,29451,2020-09-26,1,1,1.0,0.0,127,1,67.0,3898.0,1,1,186,10,1,503,-1,85
20419,840,2020-12-15,4,5,3.6,0.5477225575051662,1,5,48.0,3565.0,18,1,1500,4,0,497,0,144
29112,18170,2020-10-19,1,1,1.0,0.0,104,1,67.0,2346.0,1,1,177,10,0,531,0,132
4473,20316,2020-06-23,1,1,1.0,0.0,222,1,67.0,unknown,1,4,1365,10,0,421,0,37
12825,3612,2020-09-19,1,1,1.0,0.0,134,1,67.0,1072.0,1,4,1065,4,0,536,3,144
24114,26028,2020-10-02,1,1,1.0,0.0,121,1,67.0,3056.0,1,2,1445,10,2,-1,-1,24
12725,8731,2020-11-13,1,1,1.0,0.0,79,1,67.0,3056.0,1,4,479,4,0,491,0,66
19085,10250,2020-12-18,4,1,4.0,0.0,44,1,67.0,3477.0,4,1,127,4,1,291,3,44
10820,29657,2021-01-26,1,1,1.0,0.0,5,1,67.0,3898.0,1,3,18,10,0,345,0,84
19927,5165,2021-01-21,1,2,1.0,0.0,10,2,158.0,3898.0,2,2,632,4,0,536,3,144
12944,20852,2020-10-30,1,1,1.0,0.0,93,1,67.0,unknown,1,2,1222,10,0,503,0,85
10112,29657,2020-12-08,3,1,3.0,0.0,54,1,67.0,162.0,3,4,18,10,0,345,0,84
1310,16540,2020-08-25,1,1,1.0,0.0,159,1,67.0,3898.0,1,1,824,4,0,533,0,75
10134,24175,2020-07-21,3,2,2.5,0.7071067811865476,194,2,49.0,3565.0,5,4,347,4,0,22,3,151
19678,18630,2021-01-03,1,2,1.0,0.0,28,2,40.0,2385.0,2,3,6,4,0,291,0,44
3736,19880,2020-07-31,1,1,1.0,0.0,184,1,67.0,3605.0,1,1,703,4,0,291,0,44
19838,31028,2020-08-25,1,1,1.0,0.0,159,1,67.0,1566.0,1,1,539,4,0,491,3,154
35157,1831,2021-01-30,1,1,1.0,0.0,1,1,67.0,3898.0,1,3,748,4,0,491,0,66
26253,12063,2021-01-02,1,2,1.0,0.0,29,2,210.0,965.0,2,3,1338,4,0,115,0,44
37877,13459,2020-10-24,1,1,1.0,0.0,99,1,67.0,1739.0,1,1,219,4,0,536,0,144
1375,12964,2020-11-25,1,1,1.0,0.0,67,1,67.0,1134.0,1,2,924,6,0,232,3,122
11844,23942,2020-07-05,1,1,1.0,0.0,210,1,67.0,1698.0,1,1,1180,4,3,491,3,66
7870,17672,2020-10-04,1,1,1.0,0.0,119,1,67.0,unknown,1,2,361,6,0,276,3,17
27726,29401,2021-01-14,2,4,1.5,0.5773502691896257,17,4,63.333333333333336,3898.0,6,1,449,4,0,535,3,105
8927,17009,2020-06-05,1,1,1.0,0.0,240,1,67.0,3898.0,1,1,993,4,0,491,0,144
28222,17672,2020-12-09,1,1,1.0,0.0,53,1,67.0,844.0,1,4,361,6,0,276,3,17
24498,24466,2021-01-08,1,1,1.0,0.0,23,1,67.0,2231.0,1,4,431,4,0,486,0,66
26203,14806,2020-06-14,1,2,1.0,0.0,163,2,68.0,2920.0,2,2,1180,10,1,522,3,45
12277,4017,2021-01-18,1,1,1.0,0.0,13,1,67.0,3288.0,1,2,406,10,0,527,0,84
28174,23472,2020-08-13,6,1,6.0,0.0,171,1,67.0,2917.0,6,3,1126,4,0,236,0,161
38612,32642,2020-12-16,1,1,1.0,0.0,46,1,67.0,2928.0,1,1,829,4,0,109,3,81
30455,29345,2020-12-08,2,1,2.0,0.0,54,1,67.0,unknown,2,4,393,4,0,275,3,151
34838,26468,2020-06-01,1,1,1.0,0.0,244,1,67.0,unknown,1,1,219,4,0,536,0,144
32665,17419,2020-09-07,1,1,1.0,0.0,146,1,67.0,162.0,1,3,267,6,0,2,3,45
25644,18143,2020-12-06,1,1,1.0,0.0,56,1,67.0,3137.0,1,3,369,10,0,503,0,101
41320,2646,2020-06-30,1,1,1.0,0.0,215,1,67.0,298.0,1,1,769,10,0,503,0,17
17914,28161,2020-07-11,3,5,2.4,0.8944271909999159,0,5,57.0,3137.0,12,2,926,10,0,491,0,156
31814,11628,2020-06-16,1,5,1.0,0.0,35,5,48.5,3137.0,5,3,974,10,0,441,3,39
43118,24576,2020-08-29,1,1,1.0,0.0,155,1,67.0,370.0,1,1,322,4,0,536,0,144
35898,29546,2020-06-28,1,2,1.0,0.0,119,2,98.0,unknown,2,4,603,4,1,279,3,44
13275,30082,2020-10-14,1,1,1.0,0.0,109,1,67.0,822.0,1,4,1504,4,0,466,0,-1
1230,14219,2020-08-20,1,1,1.0,0.0,164,1,67.0,3898.0,1,4,615,6,0,536,0,46
11682,32263,2020-08-25,1,1,1.0,0.0,159,1,67.0,1682.0,1,1,703,10,0,515,0,84
5337,25907,2020-11-12,1,2,1.0,0.0,12,2,68.0,3898.0,2,4,408,6,0,395,0,17
36072,12833,2020-12-06,1,1,1.0,0.0,56,1,67.0,1134.0,1,3,326,6,1,495,0,146
15799,29000,2020-07-23,1,5,1.2,0.4472135954999579,66,5,31.5,3565.0,6,4,827,10,0,536,0,127
14604,2994,2020-06-11,1,1,1.0,0.0,234,1,67.0,3898.0,1,2,881,10,3,503,0,123
110,19037,2021-01-12,1,1,1.0,0.0,19,1,67.0,3056.0,1,1,27,6,0,484,0,117
41401,1051,2020-07-28,1,1,1.0,0.0,187,1,67.0,3189.0,1,1,539,6,0,224,3,17
45558,20169,2020-12-14,4,1,4.0,0.0,48,1,67.0,3241.0,4,1,408,4,1,330,0,44
23748,12805,2020-08-24,1,2,1.0,0.0,50,2,110.0,2542.0,2,1,147,4,0,491,3,144
8982,25162,2020-11-27,1,1,1.0,0.0,65,1,67.0,965.0,1,2,1040,4,0,453,0,108
40104,22280,2020-12-25,1,1,1.0,0.0,37,1,67.0,1750.0,1,2,1127,10,0,406,0,0
18255,14784,2020-07-18,1,2,1.0,0.0,10,2,187.0,1197.0,2,3,745,4,0,399,3,140
39052,637,2021-01-17,4,1,4.0,0.0,14,1,67.0,2385.0,4,1,6,4,0,131,0,144
31946,19606,2020-11-09,2,1,2.0,0.0,83,1,67.0,298.0,2,4,1496,4,0,329,0,163
42507,20750,2020-10-25,3,2,2.5,0.7071067811865476,98,2,67.0,3288.0,5,1,157,4,1,241,0,162
4372,24175,2020-08-28,1,5,1.0,0.0,28,5,49.5,3781.0,5,1,347,4,0,22,3,151
45933,32335,2020-07-17,1,3,1.0,0.0,86,3,56.0,3898.0,3,3,453,4,0,457,-1,12
35981,29127,2021-01-15,1,1,1.0,0.0,16,1,67.0,298.0,1,1,726,4,1,334,3,44
44609,14458,2020-06-15,1,1,1.0,0.0,230,1,67.0,2453.0,1,3,139,4,0,485,3,66
38120,19768,2020-06-08,1,1,1.0,0.0,237,1,67.0,1890.0,1,2,618,4,0,399,0,144
35842,11148,2020-08-11,1,1,1.0,0.0,173,1,67.0,3898.0,1,3,406,10,0,503,0,17
33155,1435,2020-10-11,1,1,1.0,0.0,112,1,67.0,2346.0,1,3,157,10,0,465,0,133
36747,21596,2020-07-08,1,2,1.0,0.0,83,2,124.0,unknown,2,2,514,4,0,370,3,89
32545,12354,2020-06-17,1,1,1.0,0.0,228,1,67.0,3898.0,1,3,322,6,0,536,0,46
17139,20888,2020-07-21,2,2,2.0,0.0,126,2,68.0,2542.0,4,4,6,4,3,319,3,16
436,30723,2020-06-08,1,1,1.0,0.0,237,1,67.0,100.0,1,2,1135,4,0,78,0,163
19348,16343,2020-07-09,1,1,1.0,0.0,206,1,67.0,1178.0,1,2,1383,10,0,509,0,-1
31503,6197,2020-08-06,1,1,1.0,0.0,178,1,67.0,3898.0,1,2,1163,10,0,239,0,84
4277,11080,2020-08-23,2,2,2.0,0.0,161,2,55.0,unknown,4,4,392,10,0,515,0,188
9526,22870,2020-09-25,1,1,1.0,0.0,128,1,67.0,3898.0,1,1,1383,10,0,537,0,30
30610,18116,2020-08-21,1,1,1.0,0.0,163,1,67.0,2457.0,1,4,1260,6,0,164,3,17
17807,3359,2020-08-23,1,2,1.0,0.0,106,2,55.0,1178.0,2,4,186,10,0,504,0,9
26201,31849,2021-01-08,1,2,1.0,0.0,23,2,33.0,361.0,2,4,569,6,0,220,0,17
23399,26152,2020-07-11,1,1,1.0,0.0,204,1,67.0,1178.0,1,2,1383,6,0,537,0,46
3539,31101,2020-06-30,2,1,2.0,0.0,215,1,67.0,3488.0,2,1,323,6,3,489,3,117
20140,18392,2020-11-06,1,1,1.0,0.0,86,1,67.0,unknown,1,3,430,4,0,39,3,140
39369,30712,2020-08-29,1,2,1.0,0.0,155,2,56.0,2346.0,2,1,186,10,0,421,3,3
32127,24466,2020-10-27,1,1,1.0,0.0,96,1,67.0,1623.0,1,2,431,4,0,486,0,66
1212,24173,2020-06-13,1,1,1.0,0.0,232,1,67.0,2566.0,1,2,673,4,0,474,0,-1
11448,11475,2020-11-14,1,2,1.0,0.0,35,2,43.0,2012.0,2,4,279,10,1,513,0,101
20915,14291,2021-01-05,1,3,1.0,0.0,26,3,106.0,2385.0,3,4,968,4,0,55,0,111
44097,27959,2020-10-11,1,1,1.0,0.0,112,1,67.0,2566.0,1,3,888,10,0,282,0,84
37306,30691,2020-11-26,1,1,1.0,0.0,66,1,67.0,1223.0,1,2,449,10,0,382,0,38
21323,24996,2020-10-19,3,1,3.0,0.0,104,1,67.0,3898.0,3,1,539,6,0,303,0,45
11997,10997,2020-12-08,1,1,1.0,0.0,54,1,67.0,3027.0,1,4,1260,6,0,224,3,17
16628,21146,2020-12-25,1,1,1.0,0.0,37,1,67.0,unknown,1,2,325,4,0,267,0,78
9690,21402,2020-12-27,1,2,1.0,0.0,35,2,30.0,3898.0,2,2,1126,10,3,25,0,139
36638,30515,2020-09-13,3,1,3.0,0.0,140,1,67.0,708.0,3,3,1265,4,2,514,0,-1
31395,17016,2020-08-26,1,2,1.0,0.0,157,2,1.0,1682.0,2,1,1383,10,0,503,0,17
16591,18743,2020-10-26,2,1,2.0,0.0,97,1,67.0,3189.0,2,2,1040,4,0,457,0,-1
16923,14134,2020-12-15,2,1,2.0,0.0,47,1,67.0,1178.0,2,1,1411,10,0,145,0,1
14471,12989,2020-08-29,1,1,1.0,0.0,155,1,67.0,3027.0,1,1,194,10,0,502,0,178
21596,18196,2020-08-14,1,2,1.0,0.0,6,2,164.0,3898.0,2,3,194,10,0,503,3,85
4910,3942,2020-10-02,1,1,1.0,0.0,121,1,67.0,3898.0,1,2,532,10,1,502,0,149
37008,10452,2021-01-18,1,1,1.0,0.0,13,1,67.0,3898.0,1,2,186,4,0,28,0,81
27425,1064,2021-01-16,3,1,3.0,0.0,15,1,67.0,unknown,3,1,427,10,0,504,0,17
17449,27935,2020-11-25,1,1,1.0,0.0,67,1,67.0,2028.0,1,2,449,4,0,383,0,176
