iter	MultiClass
0	1.37621747
1	1.370299478
2	1.362941702
3	1.354282787
4	1.350388294
5	1.34902949
6	1.342988593
7	1.341783968
8	1.337524866
9	1.333884157
10	1.330930719
11	1.327821442
12	1.323155856
13	1.32034899
14	1.315135847
15	1.311386294
16	1.306054491
17	1.303359556
18	1.298517467
19	1.29416911
20	1.293233286
21	1.286380285
22	1.280438962
23	1.274915412
24	1.269264689
25	1.264660805
26	1.259837258
27	1.255327379
28	1.249490087
29	1.246900302
30	1.240260477
31	1.235617798
32	1.233245186
33	1.22932439
34	1.227523268
35	1.220834193
36	1.213447587
37	1.210937151
38	1.206717281
39	1.201970721
40	1.195790988
41	1.193134835
42	1.185940211
43	1.184474877
44	1.179282523
45	1.17244036
46	1.169050039
47	1.164510174
48	1.164024785
49	1.160908378
50	1.157090665
51	1.153977408
52	1.151025754
53	1.147669144
54	1.144506943
55	1.140952871
56	1.13622396
57	1.131294154
58	1.126310927
59	1.121938873
60	1.117906008
61	1.115901487
62	1.112490349
63	1.108949683
64	1.103991382
65	1.101502099
66	1.096921369
67	1.090162496
68	1.085413019
69	1.080635944
70	1.077359816
71	1.072222775
72	1.068335874
73	1.06558597
74	1.06153431
75	1.049775881
76	1.038929911
77	1.03547418
78	1.032099512
79	1.028845231
80	1.02509454
81	1.020810384
82	1.003979629
83	1.000105087
84	0.9944872758
85	0.9890433154
86	0.9854849784
87	0.9777198392
88	0.9669215456
89	0.9590756926
90	0.9552000344
91	0.9519368996
92	0.9477351439
93	0.9377963469
94	0.9282270792
95	0.9250942622
96	0.9205442599
97	0.9181530006
98	0.9139656582
99	0.9098720903
100	0.9003395047
101	0.8934912782
102	0.884801745
103	0.8811555434
104	0.8791758624
105	0.8745640505
106	0.8716876339
107	0.8699037169
108	0.8661977624
109	0.8605285328
110	0.8507765579
111	0.8480845132
112	0.8453198958
113	0.8419465383
114	0.8312500751
115	0.8282814953
116	0.821826947
117	0.8133890955
118	0.8107832851
119	0.8054220708
120	0.8031700885
121	0.7946758743
122	0.7915482257
123	0.7894991423
124	0.7852883595
125	0.782147809
126	0.7742496959
127	0.7678280984
128	0.7614269615
129	0.7585149452
130	0.7529589158
131	0.7508863488
132	0.7401345405
133	0.7369611082
134	0.7331134958
135	0.7297426617
136	0.7241354845
137	0.7205759784
138	0.7199097029
139	0.7183350702
140	0.7161725393
141	0.706865877
142	0.6980657585
143	0.6952586736
144	0.6937915513
145	0.6911292815
146	0.6887636573
147	0.6869927779
148	0.6824754815
149	0.6793521385
150	0.6778075389
151	0.6754521352
152	0.673571277
153	0.6681326765
154	0.6654793745
155	0.6629279717
156	0.6543855681
157	0.6522760757
158	0.650731455
159	0.6473646733
160	0.6455408901
161	0.6440989167
162	0.641883404
163	0.6394363463
164	0.6384197888
165	0.6342680312
166	0.6327246654
167	0.6300183424
168	0.6266509652
169	0.6209941468
170	0.619095534
171	0.6144022388
172	0.6075237078
173	0.6024550149
174	0.6001749971
175	0.5986118638
176	0.5964503344
177	0.5938670898
178	0.5893339878
179	0.5884735414
180	0.5853579444
181	0.5841863489
182	0.5822817305
183	0.5785451299
184	0.5772453136
185	0.5761460657
186	0.5730732134
187	0.5668666467
188	0.5608980519
189	0.5575079977
190	0.5516186922
191	0.5493786492
192	0.5486922401
193	0.5435990808
194	0.540862465
195	0.5390258263
196	0.537867171
197	0.5362897518
198	0.5354360434
199	0.532996292
200	0.5300069729
201	0.5275479825
202	0.5259319546
203	0.5252946081
204	0.5229175441
205	0.5219530238
206	0.5200817323
207	0.5182206757
208	0.5167973857
209	0.5158234986
210	0.5145479243
211	0.5132353233
212	0.51097279
