iter	Passed	Remaining
0	69	69767
1	77	38688
2	85	28558
3	93	23397
4	98	19698
5	104	17266
6	110	15723
7	112	13905
8	117	12971
9	119	11876
10	126	11378
11	133	11028
12	140	10667
13	146	10345
14	152	9987
15	158	9767
16	165	9596
17	172	9413
18	177	9184
19	192	9430
20	202	9426
21	215	9559
22	230	9771
23	241	9819
24	249	9725
25	257	9629
26	273	9861
27	291	10116
28	300	10061
29	307	9941
30	313	9785
31	319	9675
32	326	9562
33	331	9426
34	338	9343
35	344	9217
36	349	9107
37	355	9010
38	361	8909
39	367	8808
40	373	8737
41	379	8664
42	384	8568
43	390	8494
44	396	8410
45	399	8290
46	406	8244
47	413	8194
48	415	8061
49	421	7999
50	427	7952
51	434	7913
52	440	7869
53	446	7825
54	454	7808
55	462	7803
56	468	7755
57	523	8508
58	536	8550
59	543	8518
60	551	8487
61	553	8367
62	560	8340
63	566	8282
64	573	8246
65	578	8190
66	586	8166
67	592	8115
68	598	8074
69	604	8037
70	611	7995
71	617	7960
72	623	7920
73	630	7883
74	637	7861
75	644	7833
76	651	7812
77	658	7783
78	663	7733
79	668	7684
80	675	7665
81	683	7646
82	688	7610
83	694	7573
84	702	7559
85	707	7519
86	713	7484
87	719	7451
88	725	7426
89	732	7404
90	737	7370
91	744	7352
92	750	7324
93	756	7293
94	762	7266
95	768	7238
96	775	7218
97	780	7179
98	785	7149
99	791	7124
100	797	7100
101	804	7084
102	810	7058
103	815	7029
104	821	7002
105	827	6976
106	834	6963
107	840	6939
108	846	6919
109	852	6896
110	858	6872
111	864	6857
112	870	6830
113	875	6802
114	881	6786
115	887	6763
116	893	6741
117	899	6724
118	905	6700
119	910	6677
120	917	6661
121	923	6647
122	929	6625
123	935	6608
124	941	6588
125	946	6566
126	953	6551
127	958	6530
128	964	6512
129	970	6495
130	976	6479
131	984	6470
132	989	6448
133	995	6433
134	1008	6459
135	1022	6493
136	1034	6514
137	1042	6509
138	1049	6498
139	1054	6478
140	1061	6466
141	1067	6452
142	1073	6432
143	1079	6416
144	1085	6399
145	1090	6376
146	1096	6359
147	1101	6340
148	1106	6321
149	1113	6308
150	1119	6295
151	1125	6280
152	1134	6279
153	1140	6263
154	1146	6249
155	1152	6233
156	1157	6216
157	1164	6204
158	1169	6185
159	1175	6170
160	1182	6162
161	1188	6145
162	1194	6133
163	1200	6118
164	1206	6103
165	1212	6091
166	1221	6094
167	1227	6076
168	1233	6063
169	1239	6049
170	1245	6036
171	1251	6023
172	1256	6008
173	1263	5999
174	1269	5984
175	1274	5966
176	1280	5954
177	1287	5943
178	1293	5932
179	1300	5925
180	1306	5912
181	1313	5902
182	1318	5887
183	1325	5877
184	1332	5870
185	1337	5855
186	1345	5850
187	1352	5840
188	1357	5826
189	1364	5818
190	1372	5811
191	1379	5807
192	1387	5802
193	1394	5794
194	1401	5784
195	1408	5778
196	1417	5776
197	1424	5771
198	1432	5764
199	1438	5755
200	1446	5749
201	1453	5743
202	1460	5735
203	1469	5733
204	1476	5724
205	1483	5718
206	1490	5708
207	1499	5710
208	1512	5724
209	1521	5723
210	1528	5716
211	1537	5713
212	1544	5707
213	1551	5698
214	1557	5687
215	1562	5670
216	1568	5659
217	1575	5651
218	1581	5639
219	1587	5627
220	1593	5618
221	1599	5605
222	1606	5596
223	1613	5589
224	1619	5578
225	1625	5567
226	1632	5559
227	1637	5543
228	1643	5534
229	1649	5520
230	1654	5508
231	1660	5495
232	1665	5483
233	1672	5474
234	1678	5463
235	1684	5453
236	1690	5442
237	1696	5430
238	1704	5427
239	1710	5415
240	1716	5404
241	1721	5393
242	1728	5383
243	1733	5370
244	1738	5356
245	1744	5346
246	1751	5338
247	1758	5330
248	1764	5320
249	1769	5309
250	1776	5302
251	1783	5294
252	1790	5287
253	1796	5275
254	1802	5265
255	1808	5256
256	1815	5247
257	1820	5236
258	1828	5230
259	1835	5224
260	1841	5212
261	1847	5203
262	1852	5191
263	1858	5181
264	1865	5173
265	1870	5162
266	1877	5154
267	1884	5146
268	1890	5136
269	1895	5125
270	1901	5116
271	1907	5105
272	1913	5095
273	1919	5087
274	1926	5078
275	1933	5071
276	1940	5064
277	1946	5055
278	1952	5046
279	1958	5036
280	1965	5029
281	1972	5022
282	1979	5015
283	1985	5005
284	1990	4993
285	1996	4985
286	2003	4977
287	2009	4968
288	2015	4957
289	2021	4948
290	2026	4938
291	2032	4928
292	2039	4921
293	2046	4913
294	2052	4906
295	2059	4897
296	2064	4887
297	2070	4876
298	2075	4866
299	2082	4859
300	2089	4851
301	2096	4844
302	2102	4836
303	2108	4827
304	2113	4816
305	2120	4809
306	2126	4800
307	2133	4792
308	2139	4784
309	2145	4776
310	2152	4769
311	2160	4763
312	2165	4753
313	2172	4745
314	2177	4734
315	2183	4726
316	2188	4715
317	2195	4708
318	2201	4699
319	2206	4689
